epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.12494,2.9115,5.2052,1.88284,0.69479,0.10323,0.10127,0.04631,2.63886,8.21896,1.62787,0.0001071,0.0001071,0.0001071
2,8.09694,2.45762,2.18463,1.57338,0.36494,0.15188,0.1515,0.07064,2.35893,2.61981,1.61781,0.000219149,0.000219149,0.000219149
3,11.2335,2.26246,1.80198,1.50566,0.62185,0.15713,0.15685,0.07749,2.2886,2.29865,1.60342,0.000328936,0.000328936,0.000328936
4,14.12,2.18714,1.63557,1.46142,0.45918,0.18588,0.20494,0.1041,2.13149,1.91749,1.56876,0.00043646,0.00043646,0.00043646
5,17.029,2.09734,1.56893,1.42384,0.43859,0.18035,0.20248,0.09964,2.1368,1.82705,1.59575,0.000541723,0.000541723,0.000541723
6,19.8032,2.04924,1.47006,1.3907,0.41394,0.19066,0.19828,0.09547,2.33552,1.81913,1.72469,0.000644724,0.000644724,0.000644724
7,22.5434,2.01371,1.42336,1.3675,0.41691,0.1985,0.22581,0.10923,2.07662,1.72717,1.486,0.000671588,0.000671588,0.000671588
8,25.3872,1.94509,1.35756,1.34004,0.42198,0.19845,0.23322,0.11791,2.03296,1.61734,1.45375,0.00066452,0.00066452,0.00066452
9,28.2294,1.90577,1.30798,1.32415,0.46097,0.20759,0.25439,0.12544,2.03878,1.61087,1.47846,0.000657451,0.000657451,0.000657451
10,31.2793,1.93207,1.31855,1.34315,0.48327,0.2319,0.27548,0.14425,1.88728,1.41279,1.40687,0.000650383,0.000650383,0.000650383
11,34.3445,1.87474,1.29016,1.30885,0.48144,0.22465,0.2694,0.1382,1.86912,1.42735,1.36282,0.000643314,0.000643314,0.000643314
12,37.5303,1.83362,1.24487,1.29785,0.49955,0.22788,0.27501,0.14721,1.8166,1.38995,1.31402,0.000636245,0.000636245,0.000636245
13,40.4681,1.8345,1.2453,1.28092,0.49811,0.23981,0.28998,0.15477,1.79345,1.33479,1.32925,0.000629177,0.000629177,0.000629177
14,43.3352,1.80121,1.20564,1.27623,0.74099,0.2575,0.30197,0.16443,1.71201,1.31886,1.29538,0.000622108,0.000622108,0.000622108
15,46.3486,1.73838,1.17432,1.25663,0.73093,0.2601,0.30227,0.16348,1.72423,1.30016,1.315,0.00061504,0.00061504,0.00061504
16,49.1364,1.74097,1.16294,1.25057,0.72954,0.25939,0.31367,0.16827,1.68059,1.29696,1.27684,0.000607971,0.000607971,0.000607971
17,52.0105,1.7087,1.14698,1.21958,0.78373,0.25657,0.35187,0.18811,1.70112,1.25063,1.27885,0.000600902,0.000600902,0.000600902
18,54.8686,1.66862,1.10525,1.21394,0.53884,0.37611,0.43381,0.23651,1.66697,1.21179,1.25886,0.000593834,0.000593834,0.000593834
19,57.7077,1.65674,1.08718,1.20184,0.58937,0.35023,0.40887,0.22769,1.6025,1.181,1.23754,0.000586765,0.000586765,0.000586765
